max_depth,learning_rate,min_child_weight,subsample,colsample_bytree,best_iter,R2_train_space,RMSE_train_space,MAE_train_space,R2_original,RMSE_original
7,0.03,1,1.0,0.9,328,0.6334475481738067,0.46266882530624726,0.2831380585420386,0.11947654005364239,63.69798710462387
9,0.03,3,0.8,0.7,281,0.6294632182463292,0.46517657404922463,0.28352099658032454,0.12149156683256301,63.6250607875264
9,0.05,3,1.0,0.9,106,0.6281037020812279,0.46602916962820307,0.28687706500693466,0.12571400755684126,63.47197367559968
7,0.03,3,1.0,0.9,289,0.6277670105855059,0.4662400786389239,0.2852633631292341,0.11088278854959388,64.00807282790525
5,0.03,1,0.8,0.9,384,0.6276662054440489,0.4663032060575673,0.28563389097824826,0.1088371896401854,64.08166246158346
5,0.03,3,0.8,0.7,455,0.6267920515313454,0.4668502713637227,0.2873472040336797,0.11272779032208391,63.94162695636725
7,0.08,3,1.0,0.9,135,0.6251567520276873,0.46787196121361774,0.28758141963185807,0.12376364922868222,63.54273091692795
9,0.03,3,1.0,0.7,229,0.6249848288852531,0.46797924445412564,0.28481810027335036,0.11895112602355895,63.71698877039916
5,0.03,3,1.0,0.7,437,0.6249370757638915,0.4680090389264691,0.28888031354638566,0.10553224367620062,64.20037838865201
5,0.05,1,1.0,0.9,364,0.6235977483926551,0.4688439104779022,0.28987960602105073,0.1132983226413602,63.92106583055697
5,0.08,3,1.0,0.9,289,0.6233092954959653,0.46902352348965987,0.2881375822119391,0.12013596004868476,63.674131071651715
9,0.03,3,0.8,0.9,207,0.6231181630454171,0.4691424994103553,0.2846156535464629,0.11856512737219482,63.730944851180546
5,0.03,1,0.8,0.7,447,0.6229148071928182,0.4692690510212776,0.2870705423205563,0.10980346005011543,64.04691179236738
7,0.03,3,0.8,0.7,442,0.6227939546778725,0.4693442433158291,0.2794579486833766,0.11234464207533057,63.95543133213826
9,0.03,3,1.0,0.9,237,0.6224589218347236,0.4695526318576465,0.28570024804517685,0.11846775918190966,63.73446479099554
9,0.05,3,1.0,0.7,131,0.6217354146808114,0.470002334028379,0.2850504010037164,0.11051439004151364,64.02133206759947
7,0.05,3,1.0,0.9,182,0.621314332495474,0.4702638633523641,0.290147069807314,0.11523585368758305,63.851190706629325
7,0.08,3,1.0,0.7,211,0.6210790489059497,0.4704099319762644,0.28452980001508027,0.11442631404374892,63.88039524209032
5,0.03,3,0.8,0.9,629,0.6208984865633513,0.47052199783435705,0.28444806053409544,0.10541167248032612,64.20470523861682
7,0.05,3,1.0,0.7,237,0.620373141403747,0.47084790114661584,0.28388931311436616,0.10808075756610458,64.10885342063582
5,0.08,1,1.0,0.7,188,0.620029096938745,0.47106121051203176,0.29149604248328964,0.11145620227438979,63.98742930274376
7,0.08,3,0.8,0.7,174,0.6194545379996589,0.47141722486759857,0.28772207828701724,0.12921249326130535,63.34485372799996
5,0.05,3,0.8,0.7,375,0.6194357998144746,0.47142883109524053,0.287901787601383,0.12132326633072377,63.63115499018383
5,0.08,3,0.8,0.7,234,0.619358027545335,0.4714769993371997,0.28625790147826324,0.11244472370217151,63.95182579763387
5,0.08,1,0.8,0.7,192,0.618901021580722,0.47175994654425607,0.28528825951904835,0.11452511672912535,63.876831602640316
9,0.08,3,1.0,0.7,123,0.6186988534415074,0.47188506126578583,0.28552711481881626,0.11728701391440555,63.77713423730265
9,0.03,1,1.0,0.7,322,0.6181324440076887,0.4722354155299031,0.28195251369794655,0.11113979915546923,63.99882098666141
5,0.05,3,1.0,0.7,459,0.6176133840477716,0.4725562535445553,0.29084991031598395,0.11565490772021059,63.83606788091298
5,0.05,3,0.8,0.9,416,0.6175143279178101,0.4726174567360808,0.28695657360163335,0.11034694128680222,64.02735790305094
7,0.03,3,1.0,0.7,376,0.6174538914026227,0.47265479437504715,0.28890487604963255,0.10860299693149833,64.090082063532
5,0.08,3,0.8,0.9,299,0.6168424703138352,0.47303236419149003,0.2830045466129037,0.1020099989032921,64.32665866487604
7,0.03,3,0.8,0.9,385,0.6162946934356652,0.4733703761410941,0.28426065648916676,0.10645718366287094,64.16717604246818
7,0.05,3,0.8,0.7,221,0.6159593541863179,0.4735771819845343,0.2876119606462914,0.11125113232555961,63.994812811503984
5,0.03,1,1.0,0.7,640,0.6157688553384804,0.47369462361949183,0.2890649914029731,0.10725627993192544,64.13847723858777
9,0.08,3,0.8,0.9,75,0.6157440100957172,0.4737099384473443,0.2874644608644342,0.10690362820326915,64.15114398219468
7,0.08,1,1.0,0.9,123,0.6147817621729537,0.4743026961461424,0.29009723864171727,0.10576437079487999,64.19204739195817
7,0.03,1,1.0,0.7,439,0.6136054279005053,0.4750263291021553,0.28629024948317794,0.10626123925697839,64.17421124533762
9,0.08,1,0.8,0.7,52,0.6135517081557449,0.47505934898405505,0.29187809685441163,0.09847974472301713,64.45297783585588
7,0.05,1,1.0,0.7,296,0.6133499042998951,0.47518337113393216,0.284654255125708,0.11456669849764833,63.87533176178698
9,0.08,3,1.0,0.9,76,0.6132903968641017,0.4752199363079154,0.28967006670012146,0.11553648816792528,63.840341769916584
5,0.05,1,1.0,0.7,330,0.6132088230790044,0.4752700558867026,0.2927492042567367,0.10981469565800606,64.0465076073218
9,0.05,1,1.0,0.7,216,0.6131166982184413,0.4753266517754558,0.28449785870381544,0.10647110805411852,64.16667607071024
5,0.03,3,1.0,0.9,421,0.6130191013074676,0.4753866020077465,0.2944413988961199,0.09564052646332444,64.55439109666456
7,0.03,1,0.8,0.9,368,0.6128652928037089,0.47548106563408565,0.2852270987286311,0.11306823292409451,63.929358713241285
7,0.05,1,0.8,0.7,203,0.6128588409408813,0.4754850277250248,0.2845095904816457,0.09714007129305635,64.50084913288705
9,0.05,1,1.0,0.9,177,0.6127799711469193,0.47553345902134303,0.2873433976898504,0.11189731074469067,63.97154437897714
5,0.05,1,0.8,0.7,364,0.6119686066822254,0.4760314046590933,0.2905400409076926,0.10827801596713582,64.1017638162206
5,0.08,1,1.0,0.9,226,0.6119104762308819,0.4760670601300005,0.29297403343398754,0.11039901343791725,64.02548408774109
9,0.03,1,0.8,0.9,344,0.6119058123854881,0.47606992067680604,0.28211100034908937,0.10527550481228531,64.20959143714087
9,0.03,1,0.8,0.7,327,0.6115043627558852,0.4763160834656464,0.283760917653013,0.10090959519345888,64.36605978394083
9,0.05,3,0.8,0.9,226,0.6112612548284969,0.47646509171055773,0.28368614109255363,0.11988873876385175,63.683075916638586
5,0.03,1,1.0,0.9,563,0.6107795374680217,0.47676021336820285,0.29244368617032857,0.10364239643550599,64.26816444814966
7,0.05,3,0.8,0.9,402,0.610731607773014,0.4767895672567806,0.2811681003493052,0.1139168179945308,63.89876871545645
5,0.05,3,1.0,0.9,136,0.6100271163322417,0.47722081513014397,0.2998206908686783,0.09465992579623461,64.58937990943538
9,0.05,3,0.8,0.7,167,0.6097524160383425,0.47738886478959236,0.28480074361210655,0.10489731496178423,64.22316033481738
9,0.08,1,1.0,0.7,121,0.609658573140603,0.477446260226933,0.28736986023246713,0.10023781900902051,64.39010158884152
9,0.03,1,1.0,0.9,226,0.6092270030651076,0.47771012486194964,0.2902988071276728,0.10763813707220293,64.12475865704035
7,0.05,1,1.0,0.9,362,0.6087829512043698,0.47798146889441284,0.28513513640525295,0.10597260473586179,64.18457299660405
9,0.05,1,0.8,0.9,111,0.6082713823446999,0.4782938792969344,0.2913693811902483,0.11067035004701808,64.01571915778746
9,0.08,1,1.0,0.9,71,0.6080312054637819,0.4784404827415562,0.28984860640285137,0.10653784129226385,64.16427988068881
9,0.08,1,0.8,0.9,150,0.6071439068654865,0.4789816987786917,0.28537396542242743,0.12369461627303391,63.5452339266056
7,0.08,1,0.8,0.7,183,0.6066320053897694,0.47929365985306005,0.29108190790362115,0.10847527502837773,64.09467340388161
7,0.08,1,0.8,0.9,167,0.6059849146710946,0.47968771712264835,0.28420242231825016,0.10591209916799371,64.18674488661185
7,0.03,1,0.8,0.7,444,0.6057415765431601,0.4798358184249308,0.28356383451881834,0.10312224686037519,64.28680890994038
9,0.08,3,0.8,0.7,116,0.6056393849341734,0.4798980010117237,0.2888017908520412,0.10921595524046435,64.06804289136946
7,0.05,1,0.8,0.9,232,0.6054929095701304,0.479987115778467,0.28542890922946124,0.10261260785619852,64.30507138338584
5,0.05,1,0.8,0.9,484,0.6049410025384752,0.48032274432003186,0.28635983061606385,0.11216147685581801,63.96202950465404
7,0.08,1,1.0,0.7,148,0.6029230916339732,0.48154789545090265,0.2877015256509967,0.0976236622385559,64.48357280711234
5,0.08,3,1.0,0.7,308,0.602516114396179,0.4817946094219246,0.2934840299628437,0.10453238064944637,64.23625092592226
5,0.08,1,0.8,0.9,232,0.5993294993199669,0.48372201980811996,0.2923771395033056,0.09564979659045048,64.5540602387684
7,0.08,3,0.8,0.9,170,0.5985379232558669,0.48419961154507557,0.28764841156865983,0.09963046040914514,64.41183026633902
9,0.05,1,0.8,0.7,164,0.5960884631887517,0.4856745005665007,0.28767471669204137,0.059560432282043996,65.82952015673591
