feature,gain,weight,cover,gain_normalized
MagpieData mode MeltingT,1280.38818359375,516.0,22720.060546875,0.32109407157506525
MagpieData maximum Column,220.15155029296875,118.0,5877.1015625,0.05520931741866252
MagpieData maximum Electronegativity,208.7120819091797,350.0,10005.4228515625,0.05234054252127523
MagpieData minimum CovalentRadius,180.64315795898438,133.0,4291.248046875,0.04530145453890854
MagpieData range NdValence,170.78414916992188,339.0,15410.72265625,0.04282902522853398
MagpieData minimum MeltingT,121.5743637084961,357.0,8506.1513671875,0.030488259687575122
MagpieData maximum NfUnfilled,121.3253402709961,618.0,11112.9287109375,0.030425809916100298
MagpieData range Column,110.9179916381836,652.0,16557.396484375,0.027815868657948824
MagpieData mean NdValence,105.22701263427734,3635.0,8117.83056640625,0.02638869239763412
MagpieData maximum NdValence,96.8435287475586,1270.0,6610.576171875,0.02428629328956442
MagpieData minimum Column,87.73887634277344,375.0,13901.466796875,0.02200304048515105
MagpieData avg_dev NdValence,46.730064392089844,2675.0,10684.3017578125,0.011718904339234289
MagpieData maximum MendeleevNumber,46.72555923461914,1568.0,8476.3603515625,0.011717774541744832
MagpieData maximum NValence,45.34785461425781,1427.0,13120.1923828125,0.011372275581626377
MagpieData range GSbandgap,43.92943572998047,469.0,20395.033203125,0.011016566351732326
MagpieData mode MendeleevNumber,39.97013473510742,772.0,8413.138671875,0.010023658034297899
MagpieData maximum NUnfilled,39.005802154541016,1312.0,5212.1806640625,0.009781823972867039
MagpieData range NfUnfilled,33.8116340637207,158.0,71266.296875,0.008479237302592087
MagpieData mean GSbandgap,31.58810806274414,4785.0,9457.740234375,0.007921624364535548
MagpieData mode GSvolume_pa,28.873268127441406,223.0,35022.44140625,0.007240800361572454
MagpieData minimum SpaceGroupNumber,25.7319393157959,676.0,9987.439453125,0.0064530220368332804
MagpieData maximum NpUnfilled,24.918201446533203,967.0,2881.399169921875,0.006248953919847846
MagpieData maximum AtomicWeight,22.868364334106445,409.0,11478.2421875,0.0057348984537567765
MagpieData minimum NValence,19.01824378967285,307.0,6533.60888671875,0.004769370266674385
MagpieData minimum AtomicWeight,17.85131072998047,79.0,2395.48095703125,0.004476728322462987
MagpieData range GSmagmom,17.714170455932617,149.0,29839.11328125,0.0044423364641693955
MagpieData mode Electronegativity,17.261491775512695,562.0,13522.556640625,0.004328814297631362
MagpieData maximum GSmagmom,16.977827072143555,962.0,8937.0810546875,0.00425767723487647
MagpieData range NUnfilled,16.874401092529297,1623.0,9981.37109375,0.004231740203180527
MagpieData minimum NsValence,16.41629981994629,318.0,9707.263671875,0.004116858166082575
MagpieData mean NpValence,16.107885360717773,5799.0,13467.8447265625,0.004039514391971546
MagpieData mean NpUnfilled,15.640480041503906,5266.0,7852.07666015625,0.0039222990982463405
MagpieData minimum GSvolume_pa,15.567062377929688,899.0,23869.92578125,0.0039038875127407574
MagpieData avg_dev GSbandgap,15.239550590515137,4051.0,12466.4658203125,0.003821754535681722
MagpieData mean Row,15.089056968688965,2965.0,15037.544921875,0.003784013942323063
MagpieData range AtomicWeight,14.008041381835938,1295.0,13030.8505859375,0.00351291826941198
MagpieData maximum NfValence,13.827014923095703,175.0,3702.1884765625,0.0034675206912052133
MagpieData maximum MeltingT,13.48637866973877,4783.0,7983.92626953125,0.0033820963777681273
MagpieData maximum NdUnfilled,13.484996795654297,1044.0,4795.046875,0.0033817498331952605
MagpieData avg_dev NpValence,13.435227394104004,5460.0,8403.634765625,0.0033692687278645446
MagpieData maximum GSbandgap,13.325850486755371,827.0,8773.494140625,0.003341839330306152
MagpieData avg_dev Column,13.223943710327148,6430.0,14166.2109375,0.003316283282395286
MagpieData mode CovalentRadius,12.879280090332031,179.0,30758.095703125,0.003229848991227892
MagpieData mode GSbandgap,11.804383277893066,322.0,9723.5654296875,0.002960287776549738
MagpieData avg_dev NsValence,11.636025428771973,1344.0,8394.939453125,0.002918067215669379
MagpieData mean NValence,11.45280933380127,4467.0,15353.0947265625,0.002872120523356813
MagpieData avg_dev NValence,11.3323335647583,5286.0,7826.0234375,0.0028419077678004732
MagpieData range MeltingT,11.192133903503418,3414.0,14512.5576171875,0.002806748680390417
MagpieData avg_dev NfUnfilled,11.004596710205078,351.0,17374.70703125,0.002759718348699204
MagpieData range CovalentRadius,10.975263595581055,2508.0,11760.912109375,0.0027523622286355453
MagpieData range Electronegativity,10.854043960571289,3386.0,11260.5615234375,0.002721962927346399
MagpieData mean Column,10.56989860534668,7391.0,14672.3564453125,0.002650705327348771
MagpieData range NValence,10.161277770996094,1965.0,8532.142578125,0.0025482319297391756
MagpieData mean MeltingT,10.127250671386719,8742.0,8423.130859375,0.00253969865826927
MagpieData maximum NpValence,10.075695037841797,9.0,406.8888854980469,0.002526769604018623
MagpieData range NdUnfilled,10.07448959350586,195.0,14256.466796875,0.002526467304266999
MagpieData avg_dev NpUnfilled,10.064508438110352,4746.0,4216.986328125,0.0025239642431906526
MagpieData mean NUnfilled,9.617067337036133,6033.0,7966.03466796875,0.0024117555499405313
MagpieData avg_dev GSmagmom,9.495043754577637,848.0,15908.1328125,0.0023811546357632367
MagpieData maximum GSvolume_pa,9.483104705810547,1391.0,10701.1181640625,0.002378160576751697
MagpieData mean CovalentRadius,9.31229019165039,5090.0,10671.861328125,0.002335323936630685
MagpieData mean NsUnfilled,9.11497688293457,615.0,8847.7529296875,0.0022858419635202456
MagpieData range NpUnfilled,9.042527198791504,506.0,8197.5576171875,0.0022676731266285067
MagpieData range NfValence,8.929993629455566,37.0,21105.08203125,0.0022394521055116674
MagpieData maximum CovalentRadius,8.87789535522461,2357.0,8817.384765625,0.00222638696854055
MagpieData mean NdUnfilled,8.850353240966797,2273.0,4922.76123046875,0.0022194799932028016
MagpieData mean SpaceGroupNumber,8.821731567382812,8230.0,10440.6728515625,0.002212302287391288
MagpieData maximum NsUnfilled,8.623053550720215,20.0,2298.89990234375,0.0021624780746095076
MagpieData mean Electronegativity,8.45148754119873,7767.0,11376.9755859375,0.0021194529754661228
MagpieData avg_dev Electronegativity,8.160307884216309,8613.0,10935.84765625,0.0020464313224874964
MagpieData mean GSmagmom,8.158918380737305,1776.0,8031.35791015625,0.002046082864625062
MagpieData minimum GSbandgap,8.137221336364746,244.0,32469.83203125,0.002040641708257018
MagpieData mean NsValence,8.057648658752441,2485.0,4697.181640625,0.002020686576393061
MagpieData minimum NUnfilled,8.049450874328613,883.0,2889.346435546875,0.0020186307467530583
MagpieData avg_dev NdUnfilled,7.89049768447876,1580.0,10519.1123046875,0.0019787686740061206
MagpieData mode Column,7.8077392578125,139.0,6371.97119140625,0.001958014624167242
MagpieData mean GSvolume_pa,7.803741931915283,5090.0,13754.1943359375,0.0019570121800146045
MagpieData mean NfValence,7.759210109710693,978.0,2675.7607421875,0.0019458445479718007
