feature,gain,weight,cover,gain_normalized
MagpieData avg_dev Row,9.48466682434082,499.0,541.9498901367188,0.04232301145073363
MagpieData maximum NValence,9.137724876403809,147.0,953.5238037109375,0.040774867661687204
MagpieData mode NsValence,9.081369400024414,7.0,334.28570556640625,0.040523395099045824
MagpieData range NdUnfilled,8.061649322509766,39.0,3877.923095703125,0.03597314306421012
MagpieData maximum NUnfilled,8.00910758972168,178.0,1797.561767578125,0.03573868840179386
MagpieData maximum NdUnfilled,8.004181861877441,156.0,1153.19873046875,0.03571670854316352
MagpieData maximum AtomicWeight,5.808812141418457,46.0,644.2608642578125,0.025920406834480464
MagpieData minimum Electronegativity,5.668433666229248,259.0,648.5946044921875,0.025294002141210456
MagpieData minimum NpUnfilled,5.45939826965332,13.0,268.69232177734375,0.02436123268849892
MagpieData maximum CovalentRadius,5.402157783508301,329.0,453.4012145996094,0.02410581098572028
MagpieData mean NpUnfilled,4.173415184020996,492.0,387.9288635253906,0.018622846947948753
MagpieData avg_dev NfValence,3.8083934783935547,40.0,360.57501220703125,0.016994026651658566
packing fraction,3.5763769149780273,1986.0,578.0684814453125,0.01595870934931593
MagpieData avg_dev NsValence,3.447766065597534,240.0,1024.800048828125,0.015384814814923839
MagpieData avg_dev NdUnfilled,3.3547720909118652,241.0,924.103759765625,0.014969851893361821
density,3.236736297607422,2180.0,691.826171875,0.014443145966401907
MagpieData range CovalentRadius,3.0340330600738525,372.0,626.4274291992188,0.013538632228373974
MagpieData mean NdUnfilled,3.018192768096924,329.0,736.4559326171875,0.013467948790448455
MagpieData mean NsValence,2.925320625305176,318.0,647.4402465820312,0.013053529513986153
MagpieData mean NfValence,2.9095966815948486,92.0,1087.3369140625,0.01298336525181144
MagpieData mode CovalentRadius,2.499474287033081,46.0,447.1956481933594,0.011153294135692257
MagpieData mode NUnfilled,2.4795875549316406,52.0,221.84616088867188,0.011064554446040013
MagpieData range Row,2.4345250129699707,46.0,263.6739196777344,0.01086347384776866
MagpieData avg_dev NUnfilled,2.401780843734741,570.0,572.35791015625,0.010717360982113655
MagpieData minimum GSvolume_pa,2.3677117824554443,243.0,758.6213989257812,0.010565336108984847
MagpieData mean NsUnfilled,2.2677431106567383,67.0,985.8656616210938,0.01011925030337772
MagpieData mean NfUnfilled,2.2627172470092773,9.0,564.2222290039062,0.010096823613158572
MagpieData minimum NdValence,2.2488820552825928,9.0,142.55555725097656,0.010035087445856537
MagpieData mode SpaceGroupNumber,2.1586997509002686,120.0,305.8333435058594,0.009632670916977368
MagpieData minimum SpaceGroupNumber,1.9658859968185425,63.0,117.15872955322266,0.00877228658582539
MagpieData mean NpValence,1.9208885431289673,425.0,622.265869140625,0.00857149642808676
MagpieData range AtomicWeight,1.8370808362960815,140.0,520.585693359375,0.008197524985374067
MagpieData mean NValence,1.7882702350616455,404.0,600.197998046875,0.007979719587122156
MagpieData avg_dev NpUnfilled,1.7773807048797607,562.0,666.1387939453125,0.007931127715724181
MagpieData mean MeltingT,1.7669633626937866,989.0,360.81292724609375,0.007884642868044375
MagpieData avg_dev NsUnfilled,1.71281099319458,41.0,303.3414611816406,0.0076430011322991065
MagpieData minimum NUnfilled,1.698896884918213,122.0,1972.19677734375,0.0075809128191497025
MagpieData avg_dev CovalentRadius,1.6547218561172485,798.0,537.8521118164062,0.00738379253180533
MagpieData minimum MeltingT,1.6460907459259033,122.0,508.7213134765625,0.007345278308562044
MagpieData minimum Column,1.6322929859161377,51.0,547.7254638671875,0.007283709171163444
MagpieData range GSbandgap,1.5376152992248535,103.0,867.9417724609375,0.006861233095601066
MagpieData mean NUnfilled,1.4693963527679443,492.0,763.093505859375,0.006556822692418199
MagpieData mean Column,1.411202073097229,483.0,661.9213256835938,0.0062971449187561755
MagpieData maximum Electronegativity,1.4072537422180176,70.0,367.3999938964844,0.006279526455598007
MagpieData maximum GSvolume_pa,1.4046404361724854,224.0,1273.6473388671875,0.006267865215014891
MagpieData mode NdValence,1.393257737159729,8.0,93.625,0.006217072698042043
MagpieData avg_dev Column,1.3891249895095825,434.0,356.28570556640625,0.006198631320041156
MagpieData avg_dev GSbandgap,1.343984842300415,409.0,716.0709228515625,0.005997204427288476
MagpieData avg_dev Electronegativity,1.3344913721084595,893.0,654.1802978515625,0.005954842132957779
MagpieData avg_dev NpValence,1.3199759721755981,456.0,276.0394592285156,0.0058900707025060645
MagpieData mode MeltingT,1.3093526363372803,66.0,449.2121276855469,0.0058426666584149994
MagpieData mean GSmagmom,1.3089314699172974,215.0,1165.5162353515625,0.0058407873060301735
MagpieData minimum NpValence,1.3019165992736816,1.0,4125.0,0.005809485157407173
