feature,gain,weight,cover,gain_normalized
density,7.718771934509277,1737.0,878.61083984375,0.046034389567185696
MagpieData maximum NUnfilled,6.520182132720947,155.0,1157.5355224609375,0.03888605686155203
MagpieData mean Row,5.627444744110107,231.0,1042.883056640625,0.033561813435629875
MagpieData range NpValence,5.519227981567383,48.0,413.625,0.03291641379863333
MagpieData avg_dev NdUnfilled,3.9741995334625244,194.0,719.2422485351562,0.02370193744463478
MagpieData mode MeltingT,3.83725643157959,133.0,496.5037536621094,0.022885215282857554
MagpieData avg_dev NUnfilled,3.3329503536224365,479.0,702.3695068359375,0.019877557762885103
MagpieData maximum NpUnfilled,3.3087568283081055,132.0,754.727294921875,0.01973326872587597
MagpieData range Column,3.272439956665039,32.0,533.0,0.0195166766266064
MagpieData avg_dev NpValence,2.870331048965454,477.0,581.5702514648438,0.01711851818086719
packing fraction,2.8027966022491455,1536.0,501.6458435058594,0.016715745945112492
MagpieData maximum NValence,2.7910170555114746,143.0,1564.748291015625,0.016645493287300122
MagpieData maximum NdUnfilled,2.7807421684265137,167.0,578.8383178710938,0.016584214348261486
MagpieData mean NpValence,2.749332904815674,316.0,766.6423950195312,0.01639689099043361
MagpieData avg_dev NpUnfilled,2.6074728965759277,441.0,609.0906982421875,0.015550844632448064
MagpieData minimum GSvolume_pa,2.541382074356079,174.0,710.3275756835938,0.015156682104691302
MagpieData mean NUnfilled,2.455038547515869,430.0,389.6674499511719,0.014641733407555107
MagpieData avg_dev NfValence,2.4289634227752686,39.0,746.923095703125,0.014486222600848251
MagpieData mean NsUnfilled,2.3743550777435303,51.0,443.3333435058594,0.01416054102220602
MagpieData mean NfValence,2.2983784675598145,103.0,746.621337890625,0.01370742012410635
MagpieData mean NdUnfilled,2.0415918827056885,369.0,1178.761474609375,0.012175957116376798
MagpieData mean NpUnfilled,1.9881778955459595,436.0,712.965576171875,0.011857398631411801
MagpieData maximum MendeleevNumber,1.91720449924469,286.0,320.3951110839844,0.011434116663508105
MagpieData mode NValence,1.8073039054870605,27.0,135.9629669189453,0.010778674737042459
MagpieData maximum CovalentRadius,1.7236863374710083,215.0,358.455810546875,0.010279983528988738
MagpieData range AtomicWeight,1.7005646228790283,194.0,797.4639282226562,0.01014208672027105
MagpieData minimum CovalentRadius,1.6150671243667603,20.0,130.14999389648438,0.009632183695939258
MagpieData mean CovalentRadius,1.56907057762146,474.0,401.1054992675781,0.00935786247365365
MagpieData maximum AtomicWeight,1.5538526773452759,57.0,247.7894744873047,0.009267103638485014
MagpieData mode Column,1.5534460544586182,13.0,116.76923370361328,0.009264678558882952
MagpieData mean GSmagmom,1.5513893365859985,157.0,799.1783447265625,0.009252412391080446
MagpieData mode SpaceGroupNumber,1.5389846563339233,48.0,386.9166564941406,0.009178431466650308
MagpieData maximum NfUnfilled,1.5054529905319214,3.0,342.3333435058594,0.008978450202860816
MagpieData range SpaceGroupNumber,1.4992316961288452,165.0,229.53939819335938,0.008941346698236855
MagpieData mean Column,1.494329810142517,291.0,326.69415283203125,0.00891211208280539
MagpieData avg_dev Column,1.433611273765564,295.0,210.01695251464844,0.008549989612904523
MagpieData avg_dev NsUnfilled,1.4331812858581543,47.0,648.723388671875,0.008547425185427351
MagpieData mean NsValence,1.3867367506027222,188.0,312.0265808105469,0.008270432180924055
MagpieData minimum Electronegativity,1.351385474205017,163.0,649.3987426757812,0.008059598845881014
MagpieData mean Electronegativity,1.3328189849853516,824.0,912.5339965820312,0.007948869185141611
MagpieData avg_dev GSmagmom,1.2908072471618652,45.0,1472.6666259765625,0.007698313174189359
MagpieData mode MendeleevNumber,1.2881513833999634,161.0,547.8385009765625,0.007682473728732219
MagpieData range NValence,1.2541955709457397,139.0,292.4676208496094,0.007479962874434332
MagpieData maximum GSvolume_pa,1.231213092803955,238.0,1128.3697509765625,0.007342896465298938
MagpieData avg_dev GSvolume_pa,1.230343222618103,494.0,554.3096923828125,0.007337708600785237
MagpieData minimum NUnfilled,1.2267863750457764,65.0,362.69232177734375,0.007316495730633764
MagpieData range GSvolume_pa,1.1772993803024292,333.0,685.4414672851562,0.007021357642107076
MagpieData minimum NValence,1.1688464879989624,36.0,95.91666412353516,0.006970944993492915
MagpieData maximum Column,1.1617988348007202,19.0,319.4210510253906,0.006928913124224721
MagpieData minimum AtomicWeight,1.1215198040008545,21.0,107.9047622680664,0.006688690895745629
MagpieData avg_dev GSbandgap,1.113873839378357,391.0,555.5012817382812,0.006643090725532626
MagpieData range CovalentRadius,1.1039849519729614,302.0,658.15234375,0.006584113870267507
MagpieData avg_dev NValence,1.0835193395614624,539.0,461.6920166015625,0.006462057928924052
MagpieData range Electronegativity,1.0506831407546997,341.0,619.5953369140625,0.006266224397294753
MagpieData mode NUnfilled,1.046916127204895,38.0,223.73684692382812,0.006243758107225826
MagpieData avg_dev MeltingT,1.0454061031341553,625.0,382.2048034667969,0.0062347523953175
MagpieData mode GSvolume_pa,1.0450705289840698,58.0,769.137939453125,0.006232751047009145
MagpieData minimum Column,1.0242244005203247,27.0,43.55555725097656,0.006108425725985309
MagpieData maximum NdValence,1.0213032960891724,63.0,139.73016357421875,0.0060910043977622395
MagpieData range NpUnfilled,1.0186045169830322,53.0,1525.4339599609375,0.006074909007228365
MagpieData mean NValence,1.0170682668685913,247.0,536.51416015625,0.0060657468844398125
MagpieData minimum MeltingT,1.0111829042434692,137.0,298.8102111816406,0.006030646860999847
MagpieData mode CovalentRadius,0.9814503192901611,54.0,546.9815063476562,0.005853323135128285
MagpieData avg_dev AtomicWeight,0.9784056544303894,283.0,754.1484375,0.005835164898371784
MagpieData maximum Electronegativity,0.9684396982192993,66.0,1487.697021484375,0.005775728408406363
MagpieData mean GSvolume_pa,0.9558810591697693,476.0,273.9516906738281,0.005700829281013439
MagpieData mean GSbandgap,0.9472433924674988,290.0,510.7379455566406,0.005649314646652227
MagpieData mean NdValence,0.9427552819252014,293.0,519.1433715820312,0.005622547768335613
MagpieData maximum MeltingT,0.9391770958900452,425.0,201.66822814941406,0.005601207636604318
MagpieData avg_dev SpaceGroupNumber,0.9361302256584167,526.0,394.9961853027344,0.005583036247114708
MagpieData avg_dev NdValence,0.8985656499862671,235.0,821.8383178710938,0.005359002900218353
MagpieData range NUnfilled,0.8979796171188354,144.0,850.736083984375,0.005355507828003833
MagpieData mean MendeleevNumber,0.8869370222091675,829.0,300.88177490234375,0.005289650315925832
MagpieData avg_dev CovalentRadius,0.8824825286865234,588.0,325.1666564941406,0.0052630839279193264
MagpieData minimum MendeleevNumber,0.8805954456329346,443.0,414.7765197753906,0.005251829454128469
MagpieData range MeltingT,0.878545343875885,470.0,748.8765869140625,0.0052396027445252924
MagpieData mean MeltingT,0.8543564081192017,762.0,374.6509094238281,0.005095341079420197
MagpieData range GSbandgap,0.8532124757766724,101.0,705.8118896484375,0.005088518721208126
