feature,gain,weight,cover,gain_normalized
vpa,5.248443126678467,7457.0,9812.0498046875,0.07645173819812737
MagpieData maximum NpValence,3.6313912868499756,4.0,27884.0,0.05289686279460817
MagpieData minimum AtomicWeight,3.1022391319274902,74.0,10486.703125,0.045188938551421996
MagpieData minimum Column,2.760806083679199,266.0,9177.744140625,0.040215435097763236
MagpieData range GSbandgap,2.3266541957855225,259.0,11228.6064453125,0.03389133751866347
MagpieData mode MendeleevNumber,1.7100329399108887,906.0,10317.5498046875,0.024909289760176624
MagpieData minimum CovalentRadius,1.2679812908172607,292.0,14432.2978515625,0.018470119870963322
packing fraction,1.2040588855743408,5781.0,11720.703125,0.01753899060602279
MagpieData mode Column,1.106734037399292,76.0,2928.065673828125,0.01612130280160902
MagpieData range NpValence,1.1011011600494385,82.0,5044.255859375,0.016039251180955238
MagpieData mean MeltingT,0.9587706327438354,3197.0,8490.8388671875,0.013965985652772636
MagpieData mean NpValence,0.9410930871963501,1519.0,11411.5009765625,0.013708484704098526
MagpieData mode GSbandgap,0.9279772043228149,140.0,6420.98583984375,0.01351743146802785
MagpieData mode NdValence,0.8361182808876038,61.0,9216.6064453125,0.012179363359804865
MagpieData maximum GSbandgap,0.7770484685897827,430.0,10863.66015625,0.011318919659414891
MagpieData maximum Column,0.7728314399719238,102.0,18105.431640625,0.01125749207792358
MagpieData range Column,0.7579872012138367,232.0,6758.53466796875,0.011041262649902324
MagpieData minimum NpUnfilled,0.7529171705245972,68.0,23817.80859375,0.010967409766379603
MagpieData mode NUnfilled,0.7496564984321594,167.0,17640.84375,0.010919913005312717
MagpieData minimum Electronegativity,0.7177847027778625,889.0,17652.333984375,0.010455650724393502
MagpieData avg_dev GSbandgap,0.6869117021560669,1779.0,9621.1396484375,0.01000593744676828
MagpieData mean Column,0.6730180978775024,1985.0,12574.2421875,0.009803555488672183
MagpieData mode Row,0.6502354145050049,1.0,130.0,0.00947169026643297
MagpieData mode NfUnfilled,0.6423717141151428,14.0,2505.78564453125,0.009357143238111694
MagpieData mean NdUnfilled,0.6245098114013672,910.0,17157.44140625,0.009096956840539313
MagpieData minimum SpaceGroupNumber,0.6178362369537354,348.0,15795.5087890625,0.00899974584783128
MagpieData mean MendeleevNumber,0.6065655946731567,2532.0,6344.4638671875,0.008835571411305596
MagpieData mean GSbandgap,0.6010148525238037,2008.0,10608.0439453125,0.008754716217610049
MagpieData minimum MeltingT,0.5839394330978394,606.0,13700.7109375,0.008505986172515094
MagpieData minimum NUnfilled,0.5690736770629883,360.0,11736.81640625,0.008289443311887218
MagpieData maximum NdUnfilled,0.5641698837280273,214.0,2745.724365234375,0.008218011934015088
MagpieData mean NValence,0.5200904011726379,1004.0,5537.56982421875,0.00757592570408079
MagpieData mode MeltingT,0.5089656114578247,565.0,6910.8564453125,0.007413875837052056
MagpieData mode AtomicWeight,0.5077337026596069,50.0,13000.099609375,0.007395931169147286
MagpieData mode Electronegativity,0.5052866339683533,474.0,12746.5341796875,0.007360285807194978
MagpieData maximum MeltingT,0.4980754256248474,1447.0,4713.71875,0.007255243340493283
MagpieData mode GSvolume_pa,0.4704480767250061,474.0,19889.345703125,0.00685280802887437
MagpieData minimum GSvolume_pa,0.46874773502349854,725.0,18709.345703125,0.006828039907076453
MagpieData avg_dev MeltingT,0.4680382013320923,2427.0,9508.4658203125,0.0068177044451673
MagpieData minimum MendeleevNumber,0.4580482840538025,1297.0,6700.787109375,0.006672185760493259
MagpieData minimum GSbandgap,0.4536319673061371,128.0,27371.9453125,0.006607855237394651
MagpieData range SpaceGroupNumber,0.44580578804016113,507.0,5308.63916015625,0.006493854762607633
MagpieData mean Row,0.4453530013561249,838.0,11328.2998046875,0.006487259220235919
MagpieData minimum NValence,0.44279754161834717,255.0,16520.22265625,0.006450034974086551
MagpieData avg_dev NdUnfilled,0.43308690190315247,611.0,10290.8359375,0.006308584401540815
MagpieData mode NpValence,0.4206017255783081,1.0,16773.0,0.0061267183874284484
MagpieData mean NUnfilled,0.41892626881599426,1363.0,8702.7421875,0.006102312753478907
MagpieData mean GSvolume_pa,0.41884762048721313,1837.0,10375.6298828125,0.006101167118231165
MagpieData mean NpUnfilled,0.41602855920791626,1843.0,11191.45703125,0.00606010310559211
MagpieData mode NValence,0.41388070583343506,91.0,18309.955078125,0.006028816280163991
density,0.41341152787208557,6309.0,5652.208984375,0.006021981973341251
MagpieData range CovalentRadius,0.40568670630455017,1104.0,6890.08251953125,0.005909457931095943
MagpieData mode SpaceGroupNumber,0.4028240442276001,271.0,5511.84521484375,0.005867758805017159
MagpieData maximum NUnfilled,0.40017813444137573,367.0,11376.455078125,0.005829217013215309
MagpieData range GSvolume_pa,0.3939579129219055,1017.0,7711.734375,0.005738609811105481
MagpieData avg_dev NpUnfilled,0.3829450011253357,1623.0,9444.546875,0.005578189619984297
MagpieData range Electronegativity,0.38213154673576355,1303.0,7999.80126953125,0.005566340391455637
